012-A|RED INDIAN LAKE
012-B|STEPHENVILLE
012-E|ILE D'ANTICOSTI
012-F|BAIE DU RENARD
012-G|BAY OF ISLANDS
012-H|SANDY LAKE
012-I|PORT SAUNDERS
012-J|HARRINGTON HARBOUR
012-K|MUSQUARO
012-L|HAVRE-SAINT-PIERRE
012-M|LAC DE MORHIBAN
012-N|RIVIERE NATASHQUAN
012-O|SAINT-AUGUSTIN
012-P|BLANC-SABLON
012-A-01|COLD SPRING POND
012-A-02|WOLF MOUNTAIN
012-A-03|BURNT POND
012-A-04|KING GEORGE IV LAKE
012-A-05|PUDDLE POND
012-A-06|VICTORIA LAKE
012-A-07|SNOWSHOE POND
012-A-08|GREAT BURNT LAKE
012-A-09|NOEL PAUL'S BROOK
012-A-10|LAKE AMBROSE
012-A-11|STAR LAKE
012-A-12|LITTLE GRAND LAKE
012-A-13|CORNER BROOK
012-A-14|RAINY LAKE
012-A-15|BUCHANS
012-A-16|BADGER
012-B-01|DASHWOODS POND
012-B-02|ST FINTAN'S
012-B-03|LITTLE FRIARS COVE
012-B-06|CAPE ST GEORGE
012-B-07|FLAT BAY
012-B-08|MAIN GUT
012-B-09|HARRYS RIVER
012-B-10|STEPHENVILLE
012-B-11|MAINLAND
012-B-15|SHAG ISLAND
012-B-16|GEORGES LAKE
012-E-01|ESCARPEMENT BAGOT
012-E-02|RIVIERE BILODEAU
012-E-03|RIVIERE CHICOTTE
012-E-05|ANSE GIBBONS
012-E-06|RIVIERE GALIOTE
012-E-07|LAC RAINSFORD
012-E-08|GRANDE BAIE BROOM
012-E-09|POINTE DE LA TOUR
012-E-10|POINTE CARLETON
012-E-11|LAC WICKENDEN
012-E-12|RIVIERE AU FUSIL
012-E-13|LAC FAURE
012-E-14|ANSE DE LA SAUVAGESSE
012-F-04|POINTE HEATH
012-F-05|CAP DE LA TABLE
012-G-01|BAY OF ISLANDS
012-G-02|PART OF 012G01 W
012-G-08|TROUT RIVER
012-G-09|SKINNER COVE
012-H-01|DAWES POND
012-H-02|THE TOPSAILS
012-H-03|DEER LAKE
012-H-04|PASADENA
012-H-05|LOMOND
012-H-06|CORMACK
012-H-07|SHEFFIELD LAKE
012-H-08|SPRINGDALE
012-H-09|KING'S POINT
012-H-10|HAMPDEN
012-H-11|SILVER MOUNTAIN
012-H-12|GROS MORNE
012-H-13|ST PAULS INLET
012-H-14|MAIN RIVER
012-H-15|JACKSON'S ARM
012-H-16|BAIE VERTE
012-I-01|FLEUR DE LYS
012-I-02|CAT ARM RIVER
012-I-03|INDIAN LOOKOUT
012-I-04|PORTLAND CREEK
012-I-05|PART OF 012I06
012-I-06|BELLBURNS
012-I-07|SOUFFLETS RIVER
