033-A|LAC ROSSIGNOL
033-B|LAC LICHTENEGER
033-C|RESERVOIR OPINACA
033-D|EASTMAIN
033-E|RIVIERE AU CASTOR
033-F|LAC SAKAMI
033-G|LAC DE LA FREGATE
033-H|LAC SAUVOLLES
033-I|LAC MISTANUKAW
033-J|LAC KINGLET
033-K|RIVIERE DENYS
033-L|POINTE LOUIS-XIV
033-M|SNAPE ISLAND
033-N|POSTE-DE-LA-BALEINE
033-O|LAC MONTROCHAND
033-P|LAC BIENVILLE
033-A-01|LAC BAROU
033-A-02|LAC LAVALLETTE
033-A-03|LAC AUTRIC
033-A-04|LAC LOUVOIS
033-A-05|LAC LAVIGNE
033-A-06|LAC CAULINCOURT
033-A-07|LAC CADIEUX
033-A-08|ILE BOHIER
033-A-09|LAC HECLA
033-A-10|LAC OCHILTRIE
033-A-11|LAC QUENTIN
033-A-12|LAC SAZINOU
033-A-13|LAC LANFRANC
033-A-14|LAC BOISSEAU
033-A-15|LAC PIGEON
033-A-16|LAC EMMANUEL
033-B-01|LAC DUMANOIR
033-B-02|GORGE PROSPER
033-B-03|LACS VILLAGE
033-B-04|LAC NATEL
033-B-05|LAC LE CARON
033-B-06|LAC BAUPAUME
033-B-07|LAC CONVIAC
033-B-08|LAC BARDIN
033-B-09|LAC SENARMONT
033-B-10|LAC DESDAMES
033-B-11|LAC CADET
033-B-12|LAC GLADMAN
033-B-13|LAC DULLOS
033-B-14|LAC JUILLY
033-B-15|LAC MIRAMON
033-B-16|LAC PHILIBERT
033-C-01|LAC PIVERT
033-C-02|LAC ANATACAU
033-C-03|RIVIERE MISKIMATAO
033-C-04|CHUTE TALKING
033-C-05|LAC ELMER
033-C-06|LAC DUXBURY
033-C-07|LAC KAUPUTAUCHECHUN
033-C-08|LAC WAPAMISK
033-C-09|BAIE KASIPASKATCH
033-C-10|LAC DE ROTIS
033-C-11|LAC BERNOU
033-C-12|LAC CONN
033-C-14|LAC MCNAB
033-C-15|LAC BOYD
033-C-16|LAC JANIN
033-D-01|RIVIERE AU MOUTON
033-D-02|EASTMAIN
